State,County,Year,Poverty Rate
Minnesota,Freeborn County,2010,11.76
Minnesota,Freeborn County,2009,11.76
Minnesota,Goodhue County,2018,11.76
Minnesota,Goodhue County,2017,10.7
Minnesota,Goodhue County,2016,10.9
Minnesota,Goodhue County,2015,11.19
Minnesota,Goodhue County,2014,11.22
Minnesota,Goodhue County,2013,11.22
Minnesota,Goodhue County,2012,8.68
Minnesota,Goodhue County,2011,8.69
Minnesota,Goodhue County,2010,8.69
Minnesota,Goodhue County,2009,8.69
Minnesota,Grant County,2018,8.69
Minnesota,Grant County,2017,10.56
Minnesota,Grant County,2016,11.2
Minnesota,Grant County,2015,9.52
Minnesota,Grant County,2014,9.05
Minnesota,Grant County,2013,9.05
Minnesota,Grant County,2012,9.83
Minnesota,Grant County,2011,9.85
Minnesota,Grant County,2010,9.85
Minnesota,Grant County,2009,9.85
Minnesota,Hennepin County,2018,11.25
Minnesota,Hennepin County,2017,11.03
Minnesota,Hennepin County,2016,11.9
Minnesota,Hennepin County,2015,12.05
Minnesota,Hennepin County,2014,12.45
Minnesota,Hennepin County,2013,12.45
Minnesota,Hennepin County,2012,12.57
Minnesota,Hennepin County,2011,12.6
Minnesota,Hennepin County,2010,12.6
Minnesota,Hennepin County,2009,11.74
Minnesota,Houston County,2018,2.24
Minnesota,Houston County,2017,7.64
Minnesota,Houston County,2016,10.25
Minnesota,Houston County,2015,10.52
Minnesota,Houston County,2014,10.95
Minnesota,Houston County,2013,10.95
Minnesota,Houston County,2012,9.78
Minnesota,Houston County,2011,9.79
Minnesota,Houston County,2010,9.79
Minnesota,Houston County,2009,9.79
Minnesota,Hubbard County,2018,10.34
Minnesota,Hubbard County,2017,10.8
Minnesota,Hubbard County,2016,11.34
Minnesota,Hubbard County,2015,11.59
Minnesota,Hubbard County,2014,11.61
Minnesota,Hubbard County,2013,11.61
Minnesota,Hubbard County,2012,12.09
Minnesota,Hubbard County,2011,12.1
Minnesota,Hubbard County,2010,12.1
Minnesota,Hubbard County,2009,12.1
Minnesota,Isanti County,2018,12.1
Minnesota,Isanti County,2017,7.1
Minnesota,Isanti County,2016,7.18
Minnesota,Isanti County,2015,7.36
Minnesota,Isanti County,2014,7.41
Minnesota,Isanti County,2013,7.39
Minnesota,Isanti County,2012,7.45
Minnesota,Isanti County,2011,8.1
Minnesota,Isanti County,2010,8.1
Minnesota,Isanti County,2009,8.1
Minnesota,Itasca County,2018,13.34
Minnesota,Itasca County,2017,13.13
Minnesota,Itasca County,2016,13.24
Minnesota,Itasca County,2015,13.48
Minnesota,Itasca County,2014,13.57
Minnesota,Itasca County,2013,13.57
Minnesota,Itasca County,2012,12.48
Minnesota,Itasca County,2011,12.49
Minnesota,Itasca County,2010,12.49
Minnesota,Itasca County,2009,12.49
Minnesota,Jackson County,2018,8.14
Minnesota,Jackson County,2017,7.74
Minnesota,Jackson County,2016,8.65
Minnesota,Jackson County,2015,10.42
Minnesota,Jackson County,2014,10.78
Minnesota,Jackson County,2013,10.85
Minnesota,Jackson County,2012,11.39
Minnesota,Jackson County,2011,11.45
Minnesota,Jackson County,2010,11.45
Minnesota,Jackson County,2009,11.45
Minnesota,Kanabec County,2018,12.75
Minnesota,Kanabec County,2017,11.45
Minnesota,Kanabec County,2016,13.1
Minnesota,Kanabec County,2015,14.09
Minnesota,Kanabec County,2014,14.17
Minnesota,Kanabec County,2013,14.17
Minnesota,Kanabec County,2012,13.12
Minnesota,Kanabec County,2011,13.12
Minnesota,Kanabec County,2010,13.12
Minnesota,Kanabec County,2009,13.12
Minnesota,Kandiyohi County,2018,13.12
Minnesota,Kandiyohi County,2017,11.25
Minnesota,Kandiyohi County,2016,11.32
Minnesota,Kandiyohi County,2015,11.62
Minnesota,Kandiyohi County,2014,11.67
Minnesota,Kandiyohi County,2013,12.72
Minnesota,Kandiyohi County,2012,12.98
Minnesota,Kandiyohi County,2011,12.94
Minnesota,Kandiyohi County,2010,12.94
Minnesota,Kandiyohi County,2009,12.94
Minnesota,Kittson County,2018,6.19
Minnesota,Kittson County,2017,10.58
Minnesota,Kittson County,2016,11.0
Minnesota,Kittson County,2015,11.11
Minnesota,Kittson County,2014,10.89
Minnesota,Kittson County,2013,10.89
Minnesota,Kittson County,2012,9.21
Minnesota,Kittson County,2011,9.18
Minnesota,Kittson County,2010,9.18
Minnesota,Kittson County,2009,9.18
Minnesota,Koochiching County,2018,22.6
Minnesota,Koochiching County,2017,16.39
Minnesota,Koochiching County,2016,16.96
Minnesota,Koochiching County,2015,16.92
Minnesota,Koochiching County,2014,15.21
Minnesota,Koochiching County,2013,15.21
Minnesota,Koochiching County,2012,11.98
Minnesota,Koochiching County,2011,12.0
Minnesota,Koochiching County,2010,12.0
Minnesota,Koochiching County,2009,12.0
Minnesota,Lac qui Parle County,2018,12.0
Minnesota,Lac qui Parle County,2017,9.24
Minnesota,Lac qui Parle County,2016,8.8
Minnesota,Lac qui Parle County,2015,8.32
Minnesota,Lac qui Parle County,2014,8.16
Minnesota,Lac qui Parle County,2013,8.16
Minnesota,Lac qui Parle County,2012,7.07
Minnesota,Lac qui Parle County,2011,7.06
Minnesota,Lac qui Parle County,2010,7.06
Minnesota,Lac qui Parle County,2009,7.06
Minnesota,Lake County,2018,7.06
Minnesota,Lake County,2017,9.28
Minnesota,Lake County,2016,9.29
Minnesota,Lake County,2015,12.96
Minnesota,Lake County,2014,12.95
Minnesota,Lake County,2013,12.95
Minnesota,Lake County,2012,13.19
Minnesota,Lake County,2011,13.15
Minnesota,Lake County,2010,13.15
Minnesota,Lake County,2009,13.15
Minnesota,Lake of the Woods County,2018,9.22
Minnesota,Lake of the Woods County,2017,9.24
Minnesota,Lake of the Woods County,2016,8.14
Minnesota,Lake of the Woods County,2015,8.78
Minnesota,Lake of the Woods County,2014,9.33
Minnesota,Lake of the Woods County,2013,9.33
Minnesota,Lake of the Woods County,2012,17.53
Minnesota,Lake of the Woods County,2011,17.72
Minnesota,Lake of the Woods County,2010,17.72
Minnesota,Lake of the Woods County,2009,16.21
Minnesota,Le Sueur County,2018,8.77
Minnesota,Le Sueur County,2017,8.77
Minnesota,Le Sueur County,2016,8.54
Minnesota,Le Sueur County,2015,8.7
Minnesota,Le Sueur County,2014,9.06
Minnesota,Le Sueur County,2013,9.06
Minnesota,Le Sueur County,2012,9.03
Minnesota,Le Sueur County,2011,9.07
Minnesota,Le Sueur County,2010,7.97
Minnesota,Le Sueur County,2009,6.94
Minnesota,Lincoln County,2018,6.76
Minnesota,Lincoln County,2017,11.11
Minnesota,Lincoln County,2016,11.58
Minnesota,Lincoln County,2015,9.72
Minnesota,Lincoln County,2014,9.3
Minnesota,Lincoln County,2013,9.3
Minnesota,Lincoln County,2012,7.56
Minnesota,Lincoln County,2011,7.43
Minnesota,Lincoln County,2010,7.43
Minnesota,Lincoln County,2009,7.43
Minnesota,Lyon County,2018,13.71
Minnesota,Lyon County,2017,13.61
Minnesota,Lyon County,2016,13.84
Minnesota,Lyon County,2015,13.86
Minnesota,Lyon County,2014,14.08
Minnesota,Lyon County,2013,14.08
Minnesota,Lyon County,2012,13.87
Minnesota,Lyon County,2011,14.04
Minnesota,Lyon County,2010,14.04
Minnesota,Lyon County,2009,14.04
Minnesota,Mahnomen County,2018,14.04
Minnesota,Mahnomen County,2017,22.55
Minnesota,Mahnomen County,2016,22.67
Minnesota,Mahnomen County,2015,24.82
Minnesota,Mahnomen County,2014,24.93
Minnesota,Mahnomen County,2013,24.93
Minnesota,Mahnomen County,2012,27.1
Minnesota,Mahnomen County,2011,27.16
Minnesota,Mahnomen County,2010,27.16
Minnesota,Mahnomen County,2009,27.16
Minnesota,Marshall County,2018,27.16
Minnesota,Marshall County,2017,7.75
Minnesota,Marshall County,2016,7.61
Minnesota,Marshall County,2015,7.77
Minnesota,Marshall County,2014,7.88
Minnesota,Marshall County,2013,7.88
Minnesota,Marshall County,2012,7.8
Minnesota,Marshall County,2011,7.86
